sigma_x_input,sigma_x_measured,sigma_p_measured,product_sigma
0.5,0.5,1.0,0.5
0.6015125180410583,0.6015125180410583,0.8312378961427879,0.5
0.7236346187201891,0.7236346187201891,0.6909564399838879,0.49999999999999994
0.8705505632961241,0.8705505632961241,0.5743491774985174,0.49999999999999994
1.0472941228206267,1.0472941228206267,0.4774208019552083,0.5
1.2599210498948732,1.2599210498948734,0.3968502629920499,0.5000000000000001
1.5157165665103982,1.5157165665103982,0.3298769776932236,0.5000000000000001
1.8234449771164336,1.8234449771164336,0.2742062449236565,0.49999999999999994
2.193649959389252,2.1936499593892522,0.22793062213955426,0.5000000000000002
2.6390158215457884,2.639015821545789,0.18946457081379978,0.5000000000000001
3.174802103936399,3.1748021039363996,0.15749013123685912,0.5
3.8193664156416665,3.8193664156416673,0.13091176535257834,0.5000000000000001
4.59479341998814,4.59479341998814,0.10881882041201552,0.5
5.527651519871104,5.527651519871104,0.09045432734002364,0.5
6.649903169142302,6.649903169142304,0.07518906475513229,0.5000000000000001
8.0,8.000000000000002,0.062499999999999986,0.5
